movie_title,rating,user_rating,popularity_score
Memory Lane,9.9,12.0,1.431
Pinpoint,9.9,25.0,0.6
Vaaitha,9.8,43.0,1.728
Son of Alibaba Nalpathonnaman,9.8,17.0,0.628
Hello Jadoo: The Secret of Jeju Island,9.7,,1.504
Bullet Proof,9.6,60.0,19.903
Freedom's Path,9.5,82.0,3.21
Love in Ukraine,9.5,75.0,0.628
Strong Hawk: My Sister's Keeper,9.4,32.0,1.4
Vaade Veedu,9.4,27.0,0.633
